Species ,Common name ,Sex,Age Class,Unit type,Unit code,Unit no. ,Deployment date,Recovery date,Deployment location,Recovery location,Deployment latitude,Deployment longitude,Mass at deployment (g),Mass at recovery ,Culman length,Culman width,Culman height,Tarsus length,Wing length,Comments,Principal investigator
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,89,1/12/2013,,Wedge Island,,-43.116667,147.666667,675,,34,7.24,8.37,41,270,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,97,1/12/2013,,Wedge Island,,-43.116667,147.666667,525,,29.84,7.03,7.62,40,270,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,63,2/12/2013,,Wedge Island,,-43.116667,147.666667,600,,32.11,6.94,8.53,44,286,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,81,17/12/2013,,Wedge Island,,-43.116667,147.666667,595,,30.22,,0.02,,279,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,67,17/12/2013,,Wedge Island,,-43.116667,147.666667,632,,29.6,,8.92,,275,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,87,17/12/2013,,Wedge Island,,-43.116667,147.666667,707,,31.47,,8.8,,273,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,73,17/12/2013,,Wedge Island,,-43.116667,147.666667,612,,30.75,,9.17,,275,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,6,17/01/2013,,Bruny Island,,-43.44027,147.23365,560,,30.5,7.4,9.4,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,57,21/01/2013,,Bruny Island,,-43.44027,147.23365,565,,22.6,7.7,8.5,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,13,24/03/2013,,Bruny Island,,-43.44027,147.23365,720,,29.28,5.29,7.74,,,,Mark Hindell
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,1,23/10/2012,,Montague Island,,-36.25,150.23,419,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,2,23/10/2012,,Montague Island,,-36.25,150.23,388,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,3,20/10/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,4,20/10/2012,,Montague Island,,-36.25,150.23,414,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,5,20/10/2012,,Montague Island,,-36.25,150.23,398,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,6,20/10/2012,,Montague Island,,-36.25,150.23,418,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,7,20/10/2012,,Montague Island,,-36.25,150.23,422,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,8,20/10/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,9,20/10/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,10,20/10/2012,,Montague Island,,-36.25,150.23,655,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,11,20/10/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
,,,,MK3005,V362,12,,,,,,,,,,,,,,Geolocator not working,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,13,9/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,14,9/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,15,9/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,16,10/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,17,10/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,18,10/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,19,10/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,20,10/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,21,10/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,22,10/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,23,11/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,24,11/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,25,11/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,26,11/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,27,11/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,28,12/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
,,,,MK3005,V362,29,,,,,,,,,,,,,,Geolocator not working,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,30,12/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,31,12/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,32,12/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,33,13/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,34,13/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,35,13/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,36,13/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,37,13/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,38,14/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,39,18/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,40,18/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,41,18/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,42,18/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,43,18/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,44,18/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,45,18/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,46,18/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,47,19/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,48,19/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,49,19/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,50,19/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,51,19/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,52,19/12/2012,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,53,15/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
,,,,MK3005,V362,54,,,,,,,,,,,,,,Geolocator not working,Robert Harcourt
,,,,MK3005,V362,55,,,,,,,,,,,,,,Geolocator not working,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,56,15/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
,,,,MK3005,V362,57,,,,,,,,,,,,,,Geolocator not working,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,58,15/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,59,15/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,60,15/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,61,15/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,62,16/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
,,,,MK3005,V362,63,,,,,,,,,,,,,,Geolocator not working,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,64,16/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,65,16/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,66,16/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,67,16/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,68,16/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
,,,,MK3005,V362,69,,,,,,,,,,,,,,Geolocator not working,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,70,17/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,71,17/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3005,V362,72,17/12/2013,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,93,15/02/2014,,Gabo Island,,-37.56786,149.91398,525,,33.1,,8.6,51.7,279,,John Arnould
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,94,8/02/2014,,Gabo Island,,-37.56786,149.91398,530,,33.7,,9.2,52.2,280,,John Arnould
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,95,10/02/2014,,Gabo Island,,-37.56786,149.91398,535,,32.6,,8.1,52,276,,John Arnould
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,96,12/02/2014,,Gabo Island,,-37.56786,149.91398,480,,31.8,,8.6,52.9,278,,John Arnould
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,97,17/02/2014,,Gabo Island,,-37.56786,149.91398,525,,34.6,,8.9,52.7,281,,John Arnould
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,98,15/02/2014,,Gabo Island,,-37.56786,149.91398,585,,33,,8.4,54,268,,John Arnould
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3005,V362,101,16/02/2014,,Gabo Island,,-37.56786,149.91398,615,,34,,9,56.5,282,,John Arnould
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3006,V363,183,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3007,V364,184,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3008,V365,185,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3009,V366,186,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3010,V367,187,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3011,V368,188,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3012,V369,189,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3013,V370,190,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3014,V371,191,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3015,V372,192,4/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna tenuirostris,Short-tailed shearwater,Unknown,Adult,MK3016,V373,193,6/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
Ardenna pacifica,Wedge-tailed Shearwater,Unknown,Adult,MK3017,V374,194,6/03/2014,,Montague Island,,-36.25,150.23,,,,,,,,,Robert Harcourt
