Geographic

NAMED LOCATIONS (ANTARCTICA) | Amanda Bay
IMOS Platform | NRSROT | Rottnest Island National Reference Station Mooring
IMOS Platform | NRSYON | Yongala National Reference Station Mooring
IMOS Platform | BMP090 | Bateman's Marine Park 90m Mooring
IMOS Platform | BMP120 | Bateman's Marine Park 120m Mooring
IMOS Platform | CH070 | Coffs Harbour 70m Mooring
IMOS Platform | CH100 | Coffs Harbour 100m Mooring
IMOS Platform | JB070 | Jervis Bay Mooring
IMOS Platform | ORS065 | Ocean Reference Station Sydney Mooring
IMOS Platform | PH100 | Port Hacking 100m Mooring
IMOS Platform | SYD100 | Sydney 100m Mooring
IMOS Platform | SYD140 | Sydney 140m Mooring
IMOS Platform | GBRCCH | Capricorn Channel Mooring
IMOS Platform | GBRELR | Elusive Reef Mooring
IMOS Platform | GBRHIN | Heron Island North Mooring
IMOS Platform | GBRHIS | Heron Island South Mooring
IMOS Platform | GBRLSH | Lizard Shelf Mooring
IMOS Platform | GBRLSL | Lizard Slope Mooring
IMOS Platform | GBRMYR | Myrmidon Mooring
IMOS Platform | GBROTE | One Tree East Mooring
IMOS Platform | GBRPPS | Palm Passage Mooring
IMOS Platform | ITFFTB | Flat Top Banks Shelf Mooring
IMOS Platform | ITFJBG | Joseph Bonaparte Gulf Shelf Mooring
IMOS Platform | ITFMHB | Margaret Harries Banks Shelf Mooring
IMOS Platform | ITFTIS | Timor South Shelf Mooring
IMOS Platform | SAM1DS | Deep Slope Mooring (M1)
IMOS Platform | SAM2CP | Cabbage Patch Mooring (M2)
IMOS Platform | SAM3MS | Mid-Slope Mooring (M3)
IMOS Platform | SAM4CY | Canyon Mooring (M4)
IMOS Platform | SAM5CB | Coffin Bay Mooring (M5)
IMOS Platform | SAM6IS | Investigator Strait Mooring (M6)
IMOS Platform | SAM7DS | Deep-Slope Mooring (M7)
IMOS Platform | SAM8SG | Spencer Gulf Mouth Mooring (M8)
IMOS Platform | WACA20 | Canyon 200m Head Mooring
IMOS Platform | WACANO | Canyon 500m North Mooring
IMOS Platform | WACASO | Canyon 500m South Mooring
IMOS Platform | WATR05 | Two Rocks 50m Shelf Mooring
IMOS Platform | WATR10 | Two Rocks 100m Shelf Mooring
IMOS Platform | WATR15 | Two Rocks 150m Shelf Mooring
IMOS Platform | WATR20 | Two Rocks 200m Shelf Mooring
IMOS Platform | WATR50 | Two Rocks 500m Shelf Mooring
IMOS Platform | SOFS | Southern Ocean Flux Station Mooring
IMOS Platform | EAC1 | East Australian Current 1 Mooring
IMOS Platform | EAC2 | East Australian Current 2 Mooring
IMOS Platform | EAC3 | East Australian Current 3 Mooring
IMOS Platform | EAC4 | East Australian Current 4 Mooring
IMOS Platform | EAC5 | East Australian Current 5 Mooring
IMOS Platform | ITFOMB | Ombai Mooring
IMOS Platform | ITFTIN | Timor North Mooring
IMOS Platform | ITFTSL | Timor Sill Mooring
IMOS Platform | POLYNYA1 | Polynya1 Mooring
IMOS Platform | POLYNYA2 | Polynya2 Mooring
IMOS Platform | POLYNYA3 | Polynya3 Mooring
IMOS Platform | PULSE5H | Pulse 5'heavy' Mooring
IMOS Platform | PULSE5L | Pulse 5'light' Mooring
IMOS Platform | PULSE6 | Pulse 6 Mooring
IMOS Platform | PULSE7 | Pulse 7 Mooring
IMOS Platform | SAZOTS | Sub-Antarctic Zone Sediment Trap Mooring
IMOS Platform | NRSMAI-CO2 | Maria Island Acidification Mooring
IMOS Platform | NRSKAI-CO2 | Kangaroo Island Acidification Mooring
IMOS Platform | PIL050 | Pilbara 50m Mooring
IMOS Platform | PIL100 | Pilbara 100m Mooring
IMOS Platform | PIL200 | Pilbara 200m Mooring
IMOS Platform | KIM050 | Kimberley 50m Mooring
IMOS Platform | KIM100 | Kimberley 100m Mooring
IMOS Platform | KIM200 | Kimberley 200m Mooring
IMOS Platform | KIM400 | Kimberley 400m Mooring
IMOS Platform | SEQ200 | South-East Queensland 200m Mooring
IMOS Platform | SEQ400 | South-East Queensland 400m Mooring
IMOS Site | NRSDAR | Darwin National Reference Station
IMOS Site | NRSESP | Esperance National Reference Station
IMOS Site | NRSKAI | Kangaroo Island National Reference Station
IMOS Site | NRSMAI | Maria Island National Reference Station
IMOS Site | NRSNIN | Ningaloo Reef National Reference Station
IMOS Site | NRSNSI | North Stradbroke Island National Reference Station
IMOS Site | NRSPHB | Port Hacking National Reference Station
IMOS Site | NRSROT | Rottnest Island National Reference Station
IMOS Site | NRSYON | Yongala National Reference Station
IMOS Site | PH025 | Port Hacking 25m water sampling site
IMOS Site | PH050 | Port Hacking 50m water sampling site
IMOS Site | PH100 | Port Hacking 100m water sampling site
IMOS Site | PH125 | Port Hacking 125m water sampling site
IMOS Site | PAPCA | Perth Canyon, WA Passive Acoustic Observatory
IMOS Site | PAPOR | Portland, VIC Passive Acoustic Observatory
IMOS Site | PATUN | Tuncurry, NSW Passive Acoustic Observatory
IMOS Site | ROT | Rottnest Shelf HF ocean radar site
IMOS Site | BONC | Bonney Coast HF ocean radar site
IMOS Site | TURQ | Turquoise Coast HF ocean radar site
IMOS Site | CBG | Capricorn Bunker Group HF ocean radar site
IMOS Site | SAG | South Australia Gulfs HF ocean radar site
IMOS Site | COF | Coffs Harbour HF ocean radar site
Agency | AIMS | Australian Institute of Marine Science
Agency | BOM | Australian Bureau of Meteorology
Agency | AAD | Australian Antarctic Division
Agency | CSIRO | Commonwealth Scientific and Industrial Research Organisation
Agency | GA | Geoscience Australia
Agency | RAN | Royal Australian Navy
Agency | EPA-Vic | Environment Protection Authority of Victoria
Agency | SMRU | Sea Mammal Research Unit
Project | GBROOS | Great Barrier Reef Ocean Observing System
